Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0.2175,2.395,5.937,11.801,323.7811392
0.218,2.993,5.937,11.804,323.6155787
0.2185,2.993,5.937,11.801,323.7811392
0.219,2.395,5.937,11.801,323.7811392
0.2195,2.694,5.934,11.804,323.2867462
0.22,2.993,5.937,11.801,323.7811392
0.2205,2.694,5.937,11.804,323.6155787
0.221,2.694,5.937,11.801,323.7811392
0.2215,2.694,5.937,11.804,323.6155787
0.222,2.993,5.939,11.804,323.8349872
0.2225,2.993,5.937,11.801,323.7811392
0.223,2.694,5.937,11.801,323.7811392
0.2235,2.993,5.937,11.804,323.6155787
0.224,3.293,5.939,11.804,323.8349872
0.2245,2.993,5.939,11.804,323.8349872
0.225,3.293,5.937,11.801,323.7811392
0.2255,2.694,5.937,11.804,323.6155787
0.226,3.293,5.937,11.804,323.6155787
0.2265,3.293,5.937,11.801,323.7811392
0.227,2.993,5.937,11.804,323.6155787
0.2275,2.993,5.937,11.801,323.7811392
0.228,2.993,5.937,11.801,323.7811392
0.2285,3.293,5.939,11.804,323.8349872
0.229,2.993,5.939,11.801,324.0007165
0.2295,2.395,5.937,11.801,323.7811392
0.23,3.293,5.937,11.801,323.7811392
0.2305,3.592,5.937,11.804,323.6155787
0.231,2.993,5.937,11.801,323.7811392
0.2315,2.993,5.937,11.804,323.6155787
0.232,2.993,5.937,11.801,323.7811392
0.2325,3.293,5.937,11.804,323.6155787
0.233,3.293,5.937,11.801,323.7811392
0.2335,3.293,5.937,11.801,323.7811392
0.234,3.293,5.937,11.801,323.7811392
0.2345,3.293,5.939,11.804,323.8349872
0.235,3.293,5.937,11.804,323.6155787
0.2355,3.293,5.937,11.801,323.7811392
0.236,3.293,5.937,11.804,323.6155787
0.2365,3.293,5.937,11.804,323.6155787
0.237,3.592,5.937,11.801,323.7811392
0.2375,3.293,5.937,11.804,323.6155787
0.238,2.993,5.937,11.804,323.6155787
0.2385,3.293,5.937,11.804,323.6155787
0.239,3.592,5.937,11.804,323.6155787
0.2395,3.293,5.937,11.804,323.6155787
0.24,3.293,5.939,11.801,324.0007165
0.2405,3.592,5.937,11.804,323.6155787
0.241,3.592,5.937,11.804,323.6155787
0.2415,3.293,5.937,11.801,323.7811392
0.242,3.293,5.937,11.801,323.7811392
0.2425,3.293,5.937,11.804,323.6155787
0.243,3.592,5.937,11.801,323.7811392
0.2435,3.592,5.937,11.804,323.6155787
0.244,3.293,5.937,11.801,323.7811392
0.2445,3.293,5.937,11.801,323.7811392
0.245,3.592,5.937,11.801,323.7811392
0.2455,3.592,5.937,11.801,323.7811392
0.246,3.293,5.937,11.801,323.7811392
0.2465,3.592,5.937,11.801,323.7811392
0.247,3.891,5.937,11.804,323.6155787
0.2475,3.592,5.939,11.801,324.0007165
0.248,3.592,5.937,11.804,323.6155787
0.2485,3.592,5.937,11.801,323.7811392
0.249,3.592,5.939,11.804,323.8349872
0.2495,3.891,5.937,11.804,323.6155787
0.25,3.891,5.937,11.804,323.6155787
0.2505,3.592,5.937,11.804,323.6155787
0.251,3.592,5.937,11.801,323.7811392
0.2515,3.891,5.937,11.801,323.7811392
0.252,3.592,5.939,11.804,323.8349872
0.2525,3.592,5.937,11.804,323.6155787
0.253,3.592,5.937,11.801,323.7811392
0.2535,3.891,5.937,11.804,323.6155787
0.254,3.592,5.939,11.804,323.8349872
0.2545,3.592,5.937,11.804,323.6155787
0.255,3.592,5.937,11.804,323.6155787
0.2555,3.891,5.939,11.804,323.8349872
0.256,3.891,5.937,11.804,323.6155787
0.2565,3.592,5.937,11.804,323.6155787
0.257,3.592,5.937,11.801,323.7811392
0.2575,3.891,5.937,11.801,323.7811392
0.258,3.891,5.937,11.801,323.7811392
0.2585,3.891,5.937,11.804,323.6155787
0.259,3.891,5.937,11.801,323.7811392
0.2595,3.891,5.937,11.801,323.7811392
0.26,3.891,5.937,11.801,323.7811392
0.2605,4.49,5.937,11.804,323.6155787
0.261,3.891,5.937,11.801,323.7811392
0.2615,3.891,5.937,11.804,323.6155787
0.262,4.19,5.937,11.804,323.6155787
0.2625,3.891,5.939,11.801,324.0007165
0.263,3.891,5.937,11.804,323.6155787
0.2635,4.19,5.937,11.801,323.7811392
0.264,4.49,5.937,11.801,323.7811392
0.2645,3.891,5.937,11.804,323.6155787
0.265,3.891,5.937,11.804,323.6155787
0.2655,4.19,5.939,11.804,323.8349872
0.266,4.49,5.937,11.804,323.6155787
0.2665,4.19,5.937,11.801,323.7811392
0.267,3.891,5.934,11.801,323.4520539
0.2675,4.19,5.937,11.804,323.6155787
0.268,4.49,5.937,11.804,323.6155787
0.2685,4.49,5.937,11.804,323.6155787
0.269,3.891,5.937,11.801,323.7811392
0.2695,4.19,5.937,11.801,323.7811392
0.27,4.789,5.937,11.801,323.7811392
0.2705,4.49,5.937,11.804,323.6155787
0.271,4.49,5.937,11.801,323.7811392
0.2715,4.49,5.937,11.804,323.6155787
0.272,4.49,5.939,11.801,324.0007165
0.2725,4.789,5.937,11.804,323.6155787
0.273,4.49,5.937,11.801,323.7811392
0.2735,4.49,5.937,11.801,323.7811392
0.274,4.789,5.937,11.804,323.6155787
0.2745,4.789,5.937,11.801,323.7811392
0.275,4.49,5.937,11.801,323.7811392
0.2755,4.49,5.937,11.801,323.7811392
0.276,4.49,5.937,11.804,323.6155787
0.2765,4.789,5.939,11.804,323.8349872
0.277,4.789,5.939,11.804,323.8349872
0.2775,4.49,5.939,11.801,324.0007165
0.278,4.49,5.937,11.801,323.7811392
0.2785,4.789,5.937,11.801,323.7811392
0.279,4.789,5.939,11.804,323.8349872
0.2795,4.19,5.937,11.801,323.7811392
0.28,4.789,5.937,11.804,323.6155787
0.2805,5.088,5.939,11.801,324.0007165
0.281,4.789,5.937,11.801,323.7811392
0.2815,4.49,5.937,11.801,323.7811392
0.282,4.789,5.937,11.804,323.6155787
0.2825,5.388,5.937,11.801,323.7811392
0.283,4.789,5.937,11.804,323.6155787
0.2835,4.789,5.937,11.801,323.7811392
0.284,4.789,5.937,11.804,323.6155787
0.2845,5.388,5.937,11.804,323.6155787
0.285,5.088,5.937,11.801,323.7811392
0.2855,4.789,5.937,11.801,323.7811392
0.286,4.789,5.937,11.801,323.7811392
0.2865,4.789,5.937,11.804,323.6155787
0.287,5.088,5.937,11.804,323.6155787
